# Общее (подходят ко всем дисциплинам)
Auftritt | Общее
Auslauf | Общее
Auswärtsbogen | Общее


# Sprünge
Axel | Sprünge
Doppelaxel | Sprünge
Dreifachaxel | Sprünge
Vierfachaxel |Sprünge
Salchow | Sprünge
Doppelsalchow | Sprünge
Doppelflip | Sprünge
Doppellutz | Sprünge
Doppelrittberger| Sprünge
Doppeltoeloop | Sprünge
Toeloop | Sprünge
Dreifachaxel | Sprünge
Dreifachflip | Sprünge
Dreifachlutz | Sprünge
Dreifachrittberger | Sprünge
Dreifachsalchow | Sprünge
Dreifachsprung | Sprünge
Dreifachtoeloop | Sprünge
Flip |Sprünge
Lutz | Sprünge
Rittberger | Sprünge
Euler | Sprünge
Einfachsprung | Sprünge
Kantensprung | Sprünge
Sprungfolge | Sprünge
Sprungkombination | Sprünge
Vierfachaxel | Sprünge
Vierfachflip | Sprünge
Vierfachlutz | Sprünge
Vierfachrittberger | Sprünge
Vierfachsalchow | Sprünge
Vierfachsprung | Sprünge
Vierfachtoeloop | Sprünge
Rehsprung | Sprünge


# Pirouetten
Standpirouette | Pirouetten
Himmelspirouette | Pirouetten


# Einzellauf
Einzellauf | Einzellauf
Einzelsprung | Einzellauf

# Paarlauf
Paarlauf | Paarlauf
Wurfsprung | Paarlauf
Twist | Paarlauf
Todesspirale | Paarlauf
Hebung | Paarlauf

# Eistanz
Eistanz | Eistanz
Choctaw | Eistanz
Mohawk | Eistanz
Twizzle | Eistanz

# Synchroneiskunstlauf
Synchroneiskunstlauf | Synchroneiskunstlauf
Block | Synchroneiskunstlauf
Kreis | Synchroneiskunstlauf
Mühle | Synchroneiskunstlauf
